tt1969980,Heavenz (1998),1998,NA,NA,NA,Yoshifusa Ide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1969985,Japonica Virus (2006),2006,NA,Drama,NA,Y? Irie,Y?ichir? Sait?,Naoko Tosu,Itsuki Fujii," 359,047
"," 5,495,300
"," 6,180,327
",NA,NA,NA,7,2.5,6,NA,NA
tt1969991,Lincz (2010),2010,118,Drama,NA,Krzysztof Lukaszewicz,Leszek Lichota,Agnieszka Podsiadlik,Wieslaw Komasa," 163,327
"," 121,572
"," 425,282
",21,NA,NA,NA,6.5,537,1,NA
tt1970012,Pour un sourire d'enfant (2003),2003,52,Documentary,"
��70K
(estimated)
",Antoine Trebouta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1970013,Preemie (II) (2011),2011,88,Documentary,NA,Nicholas Kuiper,Nicholas Kuiper,NA,NA," 7,532,671
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1970014,Prosto z nieba (2011),2011,80,Drama,NA,Piotr Matwiejczyk,Renata Dancewicz,Eryk Lubos,Marcin Bosak," 64,897
"," 165,902
"," 233,967
",1,2,2,NA,3.7,27,1,NA
tt1970021,Shamenbana (2012),2012,107,Drama,NA,Shin'ichi Karube,Naoto Takenaka,Riki Takeuchi,Ainosuke Kataoka," 30,597
"," 96,517
"," 590,718
",NA,NA,NA,NA,NA,NA,NA,NA
tt1970025,Star Wars Heroes & Villains (2005),2005,68,Documentary,"
?10K
(estimated)
",Albert Sharpe,Anthony Daniels,Christian Simpson,NA," 7,925
"," 146,313
",NA,NA,483,50,NA,6.3,14,NA,NA
tt1970028,Stoppa Smash! (2011),2011,46,Action,"
SEK?8K
(estimated)
",Carl-Oscar Andersson,Carl-Oscar Andersson,Albert Nilsson,Joakim Carlsson," 6,320,924
"," 4,839,801
"," 7,097,740
",NA,NA,NA,1,7.1,17,NA,1
tt1970029,Suno Na.. Ek Nanhi Aawaz (2009),2009,127,Drama,NA,Amy Thanawala,Tara Sharma,Makrand Shukla,Rajendra Chawla," 64,499
"," 415,763
"," 180,695
",NA,NA,NA,NA,5.4,5,NA,NA
tt1970035,The Battleships (2000),2000,205,Documentary,"
AUD?50K
(estimated)
",Peter Butt,Robyn Williams,NA,NA," 186,249
",NA,NA,NA,NA,NA,1,8.3,16,NA,1
tt1970039,The Crisis of Civilization (2011),2011,82,Documentary,NA,Dean Puckett,Nafeez Mossadeq Ahmed,Francis Fukuyama,Samuel Huntington," 1,669,955
"," 616,591
"," 1,056,980
",56,NA,NA,NA,7.4,177,NA,NA
tt1970044,The Heart That Sings (2011),2011,87,Musical,"
$350K
(estimated)
",Robin Saex Garbose,Rivka Siegel,Judy Winegard,Raize Marquis," 1,725,329
"," 1,739,047
"," 1,866,447
",2,NA,NA,2,8.2,10,NA,2
tt1970046,The Last Time I Saw Soap (2010),2010,81,Comedy,NA,Mark Schwab,Mark Balunis,Robert Sean Campbell,Chad Eschman," 389,548
"," 402,459
"," 1,084,059
",NA,NA,NA,3,7.7,6,NA,3
tt1970047,The Life of St. Patrick (1912),1912,NA,Drama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1970061,Tie er hu (1968),1968,NA,Adventure,NA,Dan Ng,Alan Tang,Fung Ling,Kien Shih," 149,448
"," 1,527,102
"," 54,903
",NA,NA,NA,NA,NA,NA,23,NA
tt1970066,U-234 Hitler's Last U-Boat (2001),2001,56,Documentary,"
$50K
(estimated)
",Andreas Gutzeit,D.M. Williamson,NA,NA," 1,157,702
",NA,NA,2,NA,NA,NA,7,22,NA,NA
tt1970075,Others (2008),2008,83,Drama,NA,?scar Campo,H?ctor Garc?a,Jenifer Nava,Patricia Casta?eda," 180,719
"," 1,385,265
"," 113,356
",NA,NA,NA,1,6.8,47,57,1
tt1970076,You & Me Forever (2012),2012,82,Drama,"
DKK?3.1MM
(estimated)
",Kaspar Munk,Julie Brochorst Andersen,Frederikke Dahl Hansen,Emilie Kruse," 67,132
"," 19,163
"," 49,697
",17,1,24,1,5.6,314,56,NA
tt1970077,Dreams for Sale (2012),2012,134,Crime,NA,Miwa Nishikawa,Y?suke Iseya,Takako Matsu,Teruyuki Kagawa," 25,901
"," 64,358
"," 85,027
",34,19,17,1,6.7,303,18,1
tt1971310,5 Weddings (2017),2017,NA,Comedy,NA,Namrata Singh Gujral,Bo Derek,Mariana Paola Vicente,Anneliese van der Pol," 2,059
"," 3,778
"," 4,571
",NA,422,65,23,NA,NA,356,1
tt1971324,Arena Mexico (2010),2010,60,Documentary,NA,Anne-Lise Michoud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1971325,Automata (2014),2014,109,Action,"
$7MM
(estimated)
",Gabe Ib??ez,Antonio Banderas,Dylan McDermott,Melanie Griffith," 1,061
"," 3,288
"," 1,656
",14000,"5,798","1,084",20,6.1,"46,327","2,381",20
